"File","Province","Job Type"
"Wage88.csv","Ontario","Other services (except public administration)"
"Wage89.csv","Ontario","Public administration"
"Wage90.csv","Manitoba","Agriculture"
"Wage91.csv","Manitoba","Utilities"
"Wage92.csv","Manitoba","Construction"
"Wage93.csv","Manitoba","Manufacturing"
"Wage94.csv","Manitoba","Wholesale and retail trade"
"Wage95.csv","Manitoba","Transportation and warehousing"
"Wage96.csv","Manitoba","Finance, insurance, real estate, rental and leasing"
"Wage97.csv","Manitoba","Professional, scientific and technical services"
"Wage98.csv","Manitoba","Business, building and other support services"
"Wage99.csv","Manitoba","Educational services"
"Wage100.csv","Manitoba","Health care and social assistance"
"Wage101.csv","Manitoba","Information, culture and recreation"
"Wage102.csv","Manitoba","Accommodation and food services"
"Wage103.csv","Manitoba","Other services (except public administration)"
"Wage104.csv","Manitoba","Public administration"
"Wage105.csv","Saskatchewan","Agriculture"
"Wage106.csv","Saskatchewan","Forestry, fishing, mining, quarrying, oil and gas"
"Wage107.csv","Saskatchewan","Utilities"
"Wage108.csv","Saskatchewan","Construction"
"Wage109.csv","Saskatchewan","Manufacturing"
"Wage110.csv","Saskatchewan","Wholesale and retail trade"
"Wage111.csv","Saskatchewan","Transportation and warehousing"
"Wage112.csv","Saskatchewan","Finance, insurance, real estate, rental and leasing"
"Wage113.csv","Saskatchewan","Professional, scientific and technical services"
"Wage114.csv","Saskatchewan","Business, building and other support services"
"Wage115.csv","Saskatchewan","Educational services"
"Wage116.csv","Saskatchewan","Health care and social assistance"
"Wage117.csv","Saskatchewan","Information, culture and recreation"
"Wage118.csv","Saskatchewan","Accommodation and food services"
"Wage119.csv","Saskatchewan","Other services (except public administration)"
"Wage120.csv","Saskatchewan","Public administration"
"Wage121.csv","Alberta","Agriculture"
"Wage122.csv","Alberta","Forestry, fishing, mining, quarrying, oil and gas"
"Wage123.csv","Alberta","Utilities"
"Wage124.csv","Alberta","Construction"
"Wage125.csv","Alberta","Manufacturing"
"Wage126.csv","Alberta","Wholesale and retail trade"
"Wage127.csv","Alberta","Transportation and warehousing"
"Wage128.csv","Alberta","Finance, insurance, real estate, rental and leasing"
"Wage129.csv","Alberta","Professional, scientific and technical services"
"Wage130.csv","Alberta","Business, building and other support services"
"Wage131.csv","Alberta","Educational services"
"Wage132.csv","Alberta","Health care and social assistance"
"Wage133.csv","Alberta","Information, culture and recreation"
"Wage134.csv","Alberta","Accommodation and food services"
"Wage135.csv","Alberta","Other services (except public administration)"
"Wage136.csv","Alberta","Public administration"
"Wage137.csv","British Columbia","Agriculture"
"Wage138.csv","British Columbia","Forestry, fishing, mining, quarrying, oil and gas"
"Wage139.csv","British Columbia","Utilities"
"Wage140.csv","British Columbia","Construction"
"Wage141.csv","British Columbia","Manufacturing"
"Wage142.csv","British Columbia","Wholesale and retail trade"
"Wage143.csv","British Columbia","Transportation and warehousing"
"Wage144.csv","British Columbia","Finance, insurance, real estate, rental and leasing"
"Wage145.csv","British Columbia","Professional, scientific and technical services"
"Wage146.csv","British Columbia","Business, building and other support services"
"Wage147.csv","British Columbia","Educational services"
"Wage148.csv","British Columbia","Health care and social assistance"
"Wage149.csv","British Columbia","Information, culture and recreation"
"Wage150.csv","British Columbia","Accommodation and food services"
"Wage151.csv","British Columbia","Other services (except public administration)"
"Wage152.csv","British Columbia","Public administration"
